ambulance,救急車
anchor,いかり
apple,りんご
baby,あかちゃん
ball,玉
balloon,風船
banana,バナナ
basket,籠
bat,蝙蝠
beard,髭
bed,寝床
bell,鐘
belt,帯
bench,ベンチ
binoculars,双眼鏡
bone,骨
book,書物
boot,ブート
bottle,瓶
bowl,鉢
bread,パン
bride,花嫁
bridge,架け
broom,ほうき
bus,バス
butterfly,蝶
cake,ケーキ
calendar,暦
camel,ラクダ
camera,カメラ
can,鑵
candle,ろうそく
cane,杖
cannon,砲
carrot,にんじん
cat,猫
celery,セロリ
chair,椅子
cheerleaders,チアリーダー
chimney,煙突
church,きょうかい
clock,時計
closet,押入れ
clown,道化師
comb,櫛
corn,とうもろこし
cow,牛
cowboy,カウボーイ
cross,交わる
crown,冠
crutches,松葉杖
desk,机
dice,賽の
dinosaur,恐竜
dog,いぬ
door,扉
dragon,竜
drum,ドラム
duck,鴨
ear,耳
elephant,象
Eskimo,エスキモー
eye,目
fan,扇子
fireman,消防士
fireplace,暖炉
fish,釣る
flashlight,懐中電灯
flower,花
foot,あし
football,フットボール
fork,分かれ
frog,蛙
garage,ガレージ
ghost,幽霊
glass,硝子
glove,手袋
goat,やぎ
grapes,ぶどう
hair,髪の
hammer,ハンマー
hand,手
harp,ハープ
hat,帽子
heart,心
helicopter,ヘリコプター
horse,馬
hose,ホース
house,家
iron,鉄
key,鑰
king,王様
kitchen,厨房
kite,凧
knife,ナイフ
lamp,灯り
leaf,葉っぱ
letter,手紙
lion,獅子
man,おとこ
map,地図
microscope,顕微鏡
monkey,猿
mountain,山
mustache,髭
nail,釘
necklace,首飾り
nose,はな
nurse,看護婦
octopus,蛸
owl,フクロウ
pear,梨
pen,ペン
pencil,えんぴつ
piano,ピアノ
pie,パイ
pig,ブタ
pillow,枕
pineapple,パイナップル
pipe,パイプ
pirate,海賊
plant,植え
pumpkin,かぼちゃ
pyramid,ピラミッド
queen,女王
rake,熊手
ring,輪
rope,縄
ruler,統治者
saddle,鞍
sailor,水夫
sandwich,サンドウィッチ
saw,鋸
scale,尺
scarf,マフラー
scissors,鋏
seal,封印
shoe,靴
skis,スキー
skull,髑髏
slippers,スリッパ
snail,かたつむり
snake,へび
sock,靴下
spider,蜘蛛
spoon,スプーン
squirrel,リス
star,星
stethoscope,聴診器
strawberries,いちご
suit,似合う
sun,ひなた
table,表
tent,テント
thermometer,温度計
toilet,便所
top,上
towel,タオル
tractor,トラクター
train,鍛える
tree,木
turkey,七面鳥
typewriter,タイプライター
van,バン
vase,壺
vest,ベスト
volcano,かざん
wagon,ワゴン
waterfall,瀑布
well,偖
whistle,笛
wig,鬘
window,ウィンドウ
zebra,シマウマ
zipper,ファスナー
